title,author & location,date,text,url,Trump
Trump ramps up drama as he picks Supreme Court judge,"Ben Hoyle, Los Angeles",Friday June 11 2021," President Trump kicked off a fierce battle for control of the Supreme Court last night when he nominated a staunch conservative for the vacancy that Barack Obama had been prevented by Republicans from filling. With characteristic showmanship the former Apprentice host unveiled Neil Gorsuch as his chosen nominee on prime time television, having first ramped up the suspense by summoning both leading candidates for the lifetime appointment to the capital. Moments after he revealed Judge Gorsuch, 49, as his pick, Mr Trump stretched his arms out before a White House audience that included senior political figures, members of the president’s family and the widow of the late Justice Antonin Scalia, whose death created the vacancy. “So, was that a surprise? Was it?” Mr Trump demanded. © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trump-ramps-up-drama-as-he-picks-his-supreme-judge-s3vlpztbm,True
Opponents ousted and mocked as Trump hits back,"Rhys Blakely, Washington",Friday June 11 2021," A defiant President Trump attacked political opponents for obstructing his efforts to appoint a cabinet yesterday, as the row over his new immigration restrictions raged on. Hundreds of US diplomats were believed to have signed an official state department memo condemning the travel ban. “A policy which closes our doors to over 200 million legitimate travellers . . . will not achieve its aim of making our country safer,” it read. The number of signatories was not immediately made available but more than 800 state department staff had said they would back a draft of the document, according to an official. Mr Trump took to Twitter to mock the Democratic Party as “a mess”, and to give the party’s leader in the Senate a new © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/opponents-ousted-and-mocked-as-trump-hits-back-x60fbsl9n,True
"We had bigger crowds than Obama, insists Trump team","Rhys Blakely, Washington",Friday June 11 2021," The Trump White House has signalled a combative new relationship with the press by describing as “shameful” reports that the inauguration on Friday attracted smaller crowds than Barack Obama did in 2009. The row over the size of the crowd dominated an antagonistic first briefing by Sean Spicer, the new White House press secretary. It was regarded as a further sign that President Trump and his team intend to stick with the pugilistic campaign style that propelled him to victory. “These attempts to lessen the enthusiasm of the inauguration are shameful and wrong,” Mr Spicer said. “This was the largest audience to ever witness an inauguration — period — both in person and around the globe.” After that assessment was widely disputed, Kellyanne Conway, a © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/we-had-bigger-crowds-than-obama-insists-trump-team-hz7mcmgvw,True
BMW shares go into reverse after Trump tax threat,"David Charter, Berlin | Bruno Waterfield, Brussels",Friday June 11 2021," Trump January 17 2017, 12:01am, The Times German politicians and industry leaders hit back at Donald Trump yesterday after his threat of border taxes on BMW sent shares diving. Mr Trump singled out the German company in his wide-ranging interview in The Times yesterday. He warned that it was in line for US import duties of 35 per cent on vehicles made in a factory that BMW is building in Mexico. The president-elect made similar threats to US carmakers earlier this month. He claimed that this was behind Ford switching a planned production plant from Mexico to the US. Mr Trump complained that more German cars could be seen on the streets of New York than US cars on German streets. Sigmar Gabriel, German vice-chancellor, retorted that “the US will have to… © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/bmw-shares-go-into-reverse-after-trump-tax-threat-9jzgcfz82,True
Trump legacy is pile of unwanted history,"David Charter, Berlin",Friday June 11 2021," A chunk of Trump real estate is being offered for sale in Germany, but potential buyers will need to enjoy the media spotlight. Donald Trump’s grandfather lived at Number 20 Freinsheimer Strasse in the village of Kallstadt before emigrating to the US and setting in train a series of improbable events leading to the White House. Friedrich Trump first left the sleepy wine-making Rhineland community in 1885 to make his fortune in the US, returning 15 years later to marry Elizabeth Christ, who lived in the house opposite. They fled Germany for good in 1905 so that Mr Trump could escape conscription into the army. His grandson would later avoid the draft for the Vietnam War. His home’s current owners pinned a note to the © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trump-legacy-is-pile-of-unwanted-history-j76p5ctdp,True
Far right puts boot into Trump boycott,"Boer Deng, Washington",Friday June 11 2021," Far-right extremists have declared New Balance trainers “the official shoes of white people” after consumers began a boycott of the company over its apparent endorsement of Donald Trump. An executive for the company, which is based in Boston, told The Wall Street Journal: “The Obama administration turned a deaf ear to us and frankly, with President-elect Trump, we feel things are going to move in the right direction.” He was apparently referring to Mr Trump’s stance on world trade, but many interpreted it as a whole-hearted endorsement of him. Some people took revenge on New Balance shoes, dumping them in rubbish bins and even setting them on fire. A white supremacist website, The Daily Stormer, hit back by urging Trump supporters to buy the © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/far-right-puts-boot-into-trump-boycott-f2gvvd3bz,True
"Trump Force One is not an option, say Secret Service","Boer Deng, Washington",Friday June 11 2021," “Trump Force One”, the president-elect’s private jet, boasts gold-plated seatbelt buckles and mohair recliners. The aircraft in which he will be entitled to travel after January 20 is blast-proof, can deflect missiles and seems superior in every possible way. Yet if Donald Trump had his way, he would prefer to stick to the Boeing 757 that he bought from Paul Allen, the founder of Microsoft, in 2010. The new owner had it retrofitted in his inimitable style and the upholstery is embroidered with a family crest that he designed himself. On the campaign trail Mr Trump said that he would rather shun Air Force One and stick to the home comforts of his private jet. However, security officials say that it would be “nearly functionally © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trump-force-one-is-not-an-option-say-secret-service-kfnx376xk,True
Trump gears up for new war on terror led by maverick general,"Rhys Blakely, Washington",Friday June 11 2021," Donald Trump has signalled a more aggressive stance in the war on terrorism by picking as his top security aide a maverick retired general who believes that Islamist extremists pose an existential threat to the US. Lieutenant-General Michael Flynn, the new national security adviser, will be a key counsellor on matters including the rise of China and the Iran nuclear deal. He has labelled President Putin a thug but has called for a rapprochement with Russia to focus on fighting Muslim extremists. “We’re in a world war,” he wrote in a book published this summer. “But very few Americans recognise it and fewer still have any idea how to win it.” He was accused of inciting Islamophobia in February when he tweeted: “Fear of Muslims © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trump-gears-up-for-new-war-on-terror-led-by-maverick-general-68zhfxxxs,True
TRUMP,Rhys BlakelyWashington,Friday June 11 2021," Donald Trump has claimed that he witnessed people jumping from the World Trade Center after the 9/11 terror attacks, from his Manhattan apartment window four miles away. The billionaire, who leads the Republican presidential field, made the claim at a rally in Ohio, a key swing state, as memories of 9/11 reshaped the White House race. In the wake of the Paris attacks, terrorism and migration have surged to the top of American voters’ concerns. Mr Trump has tweaked his stump speech accordingly, promising to bring back waterboarding for terror suspects. ""Only a stupid person would say it doesn't work … If it doesn't work, they deserve it anyway for what they're doing to us,"" he said on the practice, which the US has now © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/trump-gg8kl7glf,True
Donald Trump turns fire on Anthony Fauci in return to campaign trail,"Ben Hoyle, Los Angeles",Friday June 11 2021," Donald Trump has returned to the campaign trail with an attack on Dr Anthony Fauci, a demand for $10 trillion in coronavirus “reparations” from China and a long list of familiar grievances. In his first political appearance outside his home state of Florida since being prised from the White House in January, the former president reiterated his groundless allegation that the 2020 presidential election was stolen from him in what he called “the crime of the century”. Polls indicate that most Republicans believe the claim even though administration officials attested at the time that it had been “the most secure in American history” and dozens of judges since then have found no evidence of widespread voter fraud. Although Trump, 74, is a diminished public figure © Times Newspapers Limited 2021. Registered in England No. 894646. Registered office: 1 London Bridge Street, SE1 9GF.",https://www.thetimes.co.uk/article/donald-trump-turns-fire-on-anthony-fauci-in-return-to-campaign-trail-whf3978nc,True
